x-axis,1,2,3
second,Volt,Volt,Volt
-3.715000E-06,+2.363216050901E+00,+2.403015070129E+00,+2.615577888209E+00
-3.710000E-06,+2.458693436813E+00,+2.415577884065E+00,+2.419597990811E+00
-3.705000E-06,+2.765226096846E+00,+2.729648232460E+00,+2.384422111791E+00
-3.700000E-06,+2.694874338806E+00,+2.450753763085E+00,+2.469849246554E+00
-3.695000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.660804018378E+00
-3.690000E-06,+2.378291427623E+00,+2.367839191109E+00,+2.610552762635E+00
-3.685000E-06,+2.534070320427E+00,+2.410552758491E+00,+2.452261307044E+00
-3.680000E-06,+2.699899464380E+00,+2.772361799842E+00,+2.419597990811E+00
-3.675000E-06,+2.684824087657E+00,+2.488442204893E+00,+2.502512562787E+00
-3.670000E-06,+2.443618060090E+00,+2.408040195704E+00,+2.660804018378E+00
-3.665000E-06,+2.443618060090E+00,+2.408040195704E+00,+2.615577888209E+00
-3.660000E-06,+2.534070320427E+00,+2.415577884065E+00,+2.459798995405E+00
-3.655000E-06,+2.694874338806E+00,+2.772361799842E+00,+2.417085428024E+00
-3.650000E-06,+2.694874338806E+00,+2.488442204893E+00,+2.535175879020E+00
-3.645000E-06,+2.453668311238E+00,+2.448241200298E+00,+2.660804018378E+00
-3.640000E-06,+2.453668311238E+00,+2.410552758491E+00,+2.610552762635E+00
-3.635000E-06,+2.534070320427E+00,+2.410552758491E+00,+2.419597990811E+00
-3.630000E-06,+2.765226096846E+00,+2.772361799842E+00,+2.384422111791E+00
-3.625000E-06,+2.694874338806E+00,+2.483417079318E+00,+2.500000000000E+00
-3.620000E-06,+2.443618060090E+00,+2.408040195704E+00,+2.660804018378E+00
-3.615000E-06,+2.443618060090E+00,+2.408040195704E+00,+2.610552762635E+00
-3.610000E-06,+2.458693436813E+00,+2.415577884065E+00,+2.457286432618E+00
-3.605000E-06,+2.765226096846E+00,+2.772361799842E+00,+2.379396986216E+00
-3.600000E-06,+2.694874338806E+00,+2.490954767680E+00,+2.469849246554E+00
-3.595000E-06,+2.378291427623E+00,+2.408040195704E+00,+2.663316581165E+00
-3.590000E-06,+2.443618060090E+00,+2.408040195704E+00,+2.610552762635E+00
-3.585000E-06,+2.458693436813E+00,+2.370351753896E+00,+2.384422111791E+00
-3.580000E-06,+2.694874338806E+00,+2.732160795247E+00,+2.379396986216E+00
-3.575000E-06,+2.684824087657E+00,+2.488442204893E+00,+2.500000000000E+00
-3.570000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.620603013784E+00
-3.565000E-06,+2.373266302049E+00,+2.367839191109E+00,+2.610552762635E+00
-3.560000E-06,+2.468743687961E+00,+2.375376879470E+00,+2.457286432618E+00
-3.555000E-06,+2.765226096846E+00,+2.732160795247E+00,+2.379396986216E+00
-3.550000E-06,+2.614472329617E+00,+2.448241200298E+00,+2.434673367534E+00
-3.545000E-06,+2.378291427623E+00,+2.370351753896E+00,+2.623115576571E+00
-3.540000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.540201004595E+00
-3.535000E-06,+2.458693436813E+00,+2.408040195704E+00,+2.417085428024E+00
-3.530000E-06,+2.684824087657E+00,+2.769849237055E+00,+2.344221107196E+00
-3.525000E-06,+2.694874338806E+00,+2.488442204893E+00,+2.500000000000E+00
-3.520000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.623115576571E+00
-3.515000E-06,+2.363216050901E+00,+2.408040195704E+00,+2.615577888209E+00
-3.510000E-06,+2.453668311238E+00,+2.448241200298E+00,+2.459798995405E+00
-3.505000E-06,+2.694874338806E+00,+2.772361799842E+00,+2.379396986216E+00
-3.500000E-06,+2.694874338806E+00,+2.490954767680E+00,+2.464824120980E+00
-3.495000E-06,+2.453668311238E+00,+2.443216074724E+00,+2.655778892804E+00
-3.490000E-06,+2.378291427623E+00,+2.375376879470E+00,+2.575376883615E+00
-3.485000E-06,+2.458693436813E+00,+2.410552758491E+00,+2.457286432618E+00
-3.480000E-06,+2.699899464380E+00,+2.769849237055E+00,+2.344221107196E+00
-3.475000E-06,+2.755175845698E+00,+2.483417079318E+00,+2.502512562787E+00
-3.470000E-06,+2.443618060090E+00,+2.443216074724E+00,+2.623115576571E+00
-3.465000E-06,+2.373266302049E+00,+2.370351753896E+00,+2.575376883615E+00
-3.460000E-06,+2.534070320427E+00,+2.450753763085E+00,+2.419597990811E+00
-3.455000E-06,+2.694874338806E+00,+2.772361799842E+00,+2.376884423429E+00
-3.450000E-06,+2.694874338806E+00,+2.448241200298E+00,+2.464824120980E+00
-3.445000E-06,+2.458693436813E+00,+2.410552758491E+00,+2.660804018378E+00
-3.440000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.575376883615E+00
-3.435000E-06,+2.534070320427E+00,+2.408040195704E+00,+2.419597990811E+00
-3.430000E-06,+2.684824087657E+00,+2.772361799842E+00,+2.389447237365E+00
-3.425000E-06,+2.765226096846E+00,+2.450753763085E+00,+2.474874372128E+00
-3.420000E-06,+2.453668311238E+00,+2.443216074724E+00,+2.623115576571E+00
-3.415000E-06,+2.443618060090E+00,+2.370351753896E+00,+2.575376883615E+00
-3.410000E-06,+2.388341678772E+00,+2.410552758491E+00,+2.457286432618E+00
-3.405000E-06,+2.694874338806E+00,+2.769849237055E+00,+2.344221107196E+00
-3.400000E-06,+2.619497455191E+00,+2.450753763085E+00,+2.500000000000E+00
-3.395000E-06,+2.443618060090E+00,+2.443216074724E+00,+2.623115576571E+00
-3.390000E-06,+2.443618060090E+00,+2.375376879470E+00,+2.575376883615E+00
-3.385000E-06,+2.534070320427E+00,+2.408040195704E+00,+2.417085428024E+00
-3.380000E-06,+2.694874338806E+00,+2.769849237055E+00,+2.344221107196E+00
-3.375000E-06,+2.684824087657E+00,+2.523618083913E+00,+2.502512562787E+00
-3.370000E-06,+2.443618060090E+00,+2.403015070129E+00,+2.655778892804E+00
-3.365000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.615577888209E+00
-3.360000E-06,+2.468743687961E+00,+2.448241200298E+00,+2.419597990811E+00
