x-axis,1,2,3
second,Volt,Volt,Volt
-4.265000E-06,+2.617964848876E+00,+2.553266301751E+00,+1.094302767888E+00
-4.260000E-06,+2.532537714113E+00,+2.628643185366E+00,+1.094302767888E+00
-4.255000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-4.250000E-06,+2.693341732491E+00,+2.392462283373E+00,+1.094302767888E+00
-4.245000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-4.240000E-06,+2.617964848876E+00,+2.553266301751E+00,+1.094302767888E+00
-4.235000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-4.230000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-4.225000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-4.220000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.215000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.210000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-4.205000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-4.200000E-06,+2.693341732491E+00,+2.392462283373E+00,+1.094302767888E+00
-4.195000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-4.190000E-06,+2.457160830498E+00,+2.553266301751E+00,+1.094302767888E+00
-4.185000E-06,+2.532537714113E+00,+2.628643185366E+00,+1.094302767888E+00
-4.180000E-06,+2.371733695734E+00,+2.472864292562E+00,+1.094302767888E+00
-4.175000E-06,+2.693341732491E+00,+2.472864292562E+00,+1.094302767888E+00
-4.170000E-06,+2.612939723302E+00,+2.709045194555E+00,+1.094302767888E+00
-4.165000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-4.160000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.155000E-06,+2.291331686545E+00,+2.548241176177E+00,+1.094302767888E+00
-4.150000E-06,+2.693341732491E+00,+2.312060274184E+00,+1.094302767888E+00
-4.145000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-4.140000E-06,+2.617964848876E+00,+2.553266301751E+00,+1.094302767888E+00
-4.135000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.130000E-06,+2.376758821309E+00,+2.553266301751E+00,+1.094302767888E+00
-4.125000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-4.120000E-06,+2.612939723302E+00,+2.709045194555E+00,+1.094302767888E+00
-4.115000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-4.110000E-06,+2.532537714113E+00,+2.628643185366E+00,+1.094302767888E+00
-4.105000E-06,+2.452135704923E+00,+2.472864292562E+00,+1.094302767888E+00
-4.100000E-06,+2.859170876443E+00,+2.392462283373E+00,+1.094302767888E+00
-4.095000E-06,+2.617964848876E+00,+2.789447203744E+00,+1.094302767888E+00
-4.090000E-06,+2.537562839687E+00,+2.628643185366E+00,+1.094302767888E+00
-4.085000E-06,+2.376758821309E+00,+2.553266301751E+00,+857.116840780E-03
-4.080000E-06,+1.974748775363E+00,+2.392462283373E+00,+559.880663059E-03
-4.075000E-06,+2.371733695734E+00,+2.392462283373E+00,+370.935941464E-03
-4.070000E-06,+2.296356812119E+00,+2.548241176177E+00,+298.574133194E-03
-4.065000E-06,+2.371733695734E+00,+2.472864292562E+00,+334.503781050E-03
-4.060000E-06,+2.452135704923E+00,+2.472864292562E+00,+394.805287942E-03
-4.055000E-06,+1.974748775363E+00,+2.392462283373E+00,+659.880661988E-03
-4.050000E-06,+2.371733695734E+00,+2.392462283373E+00,+997.569100582E-03
-4.045000E-06,+2.612939723302E+00,+2.548241176177E+00,+1.094302767888E+00
-4.040000E-06,+2.537562839687E+00,+2.467839166988E+00,+1.094302767888E+00
