0  0 0  0  
967  964.37  967  -28.09  
968  1019.19  968  -9.8  
969  819.8  969  19.94  
970  984.84  970  4.28  
971  1437.11  971  31.37  
972  1081.79  972  19.74  
973  1030.6  973  -19.54  
974  1224.3  974  5.81  
975  1051.76  975  7.94  
976  880.32  976  20.31  
977  864.11  977  3.33  
978  839.75  978  28.1  
979  1098.6  979  17.63  
980  914.73  980  5.62  
981  866.78  981  6.12  
982  1038.38  982  3.13  
983  935.39  983  14.78  
984  1140.45  984  5.51  
985  1302.93  985  3.9  
986  1018.54  986  30.57  
987  1071.36  987  13.42  
988  1046.8  988  -0.71  
989  874.79  989  -43.21  
990  1110.27  990  -34.24  
991  1232.63  991  12.91  
992  1283.96  992  37.45  
993  848.69  993  8.22  
994  1201.11  994  -2.23  
995  918.67  995  28.12  
996  865.93  996  -4.47  
997  1168.75  997  14.55  
998  1105.04  998  11.84  
999  882.61  999  -40.88  
1000  934.81  1000  -19.41  
1001  975.72  1001  -17.13  
1002  945.73  1002  8.51  
1003  1049.26  1003  13.59  
1004  1355.84  1004  4.83  
1005  1055.49  1005  36.81  
1006  827.32  1006  22.86  
1007  1089.63  1007  3.17  
